Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,26.000000,26.129999,25.770000,25.940001,25.940001,250100
2022-04-21,26.330000,26.420000,24.830000,24.840000,24.840000,328600
2022-04-22,24.780001,24.959999,23.440001,23.520000,23.520000,547600
2022-04-25,23.389999,24.410000,22.780001,24.379999,24.379999,568400
2022-04-26,24.219999,24.410000,23.690001,23.760000,23.760000,364300
2022-04-27,23.590000,24.030001,23.410000,23.709999,23.709999,486200
2022-04-28,24.040001,24.860001,23.375000,24.610001,24.610001,512100
2022-04-29,24.290001,25.139999,24.170000,24.330000,24.330000,385000
2022-05-02,24.400000,24.400000,23.440001,24.290001,24.290001,354500
2022-05-03,23.990000,24.389999,23.510000,24.010000,24.010000,593200
2022-05-04,23.990000,24.580000,23.290001,24.530001,24.530001,312300
2022-05-05,24.070000,24.360001,22.808001,23.299999,23.299999,368900
2022-05-06,23.290001,23.290001,22.400000,22.850000,22.850000,325300
2022-05-09,22.570000,22.980000,22.420000,22.510000,22.510000,368600
2022-05-10,22.799999,22.815001,21.719999,22.400000,22.400000,454600
2022-05-11,22.440001,22.900000,21.965000,22.020000,22.020000,403000
2022-05-12,22.020000,22.870001,21.830000,22.459999,22.459999,382200
2022-05-13,22.740000,23.990000,22.740000,23.719999,23.719999,602700
2022-05-16,23.780001,23.950001,23.080000,23.120001,23.120001,414300
2022-05-17,23.620001,23.930000,23.170000,23.700001,23.700001,470700
2022-05-18,23.200001,23.200001,21.459999,21.620001,21.620001,712400
2022-05-19,21.280001,21.840000,21.190001,21.400000,21.400000,534700
2022-05-20,21.719999,21.809999,20.490000,21.250000,21.250000,674700
2022-05-23,21.580000,21.750000,21.100000,21.690001,21.690001,438600
2022-05-24,21.400000,21.570000,20.700001,21.049999,21.049999,834800
2022-05-25,20.930000,22.240000,20.889999,22.150000,22.150000,887800
2022-05-26,22.969999,24.770000,22.969999,24.629999,24.629999,1021300
2022-05-27,24.870001,26.200001,24.850000,25.980000,25.980000,1199100
2022-05-31,25.870001,26.920000,25.580000,26.620001,26.620001,1164100
2022-06-01,26.610001,26.610001,25.820000,26.320000,26.320000,529400
2022-06-02,26.469999,27.559999,26.139999,27.309999,27.309999,682700
2022-06-03,26.490000,26.660000,25.870001,26.420000,26.420000,728200
2022-06-06,26.540001,26.540001,25.820000,26.290001,26.290001,482900
2022-06-07,25.700001,27.719999,25.570000,27.629999,27.629999,799700
2022-06-08,27.350000,27.650000,26.690001,26.690001,26.690001,450900
2022-06-09,26.459999,26.990000,26.150000,26.290001,26.290001,499000
2022-06-10,25.690001,26.910000,25.540001,26.600000,26.600000,572200
2022-06-13,25.709999,26.040001,24.620001,24.719999,24.719999,488800
2022-06-14,24.750000,25.850000,24.639999,25.639999,25.639999,586300
2022-06-15,25.879999,26.760000,25.879999,26.330000,26.330000,500200
2022-06-16,25.650000,25.860001,25.340000,25.500000,25.500000,471800
2022-06-17,25.639999,26.230000,25.430000,25.629999,25.629999,604700
2022-06-21,26.110001,26.750000,25.754999,26.510000,26.510000,378500
